Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
314,2018-04-30,Samco,Consumer Internet,Online Stock Broker,Bay Capital Investments and Others,Private Equity,"75,00,000",7500000,Mumbai
315,2018-04-30,MyLoanCare,Finance,B2C Online Loans Marketplace,SAR Group,Seed / Angel Funding,"9,78,000",978000,Gurgaon
317,2018-03-01,Buddy4studdy,Consumer Internet,Online Scholarship Portal,CBA Capital and others,Private Equity,"30,00,000",3000000,Noida
318,2018-03-01,Urban Ladder,E-Commerce,Online Furniture Store,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,"1,20,00,000",12000000,Bengaluru
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,"2,50,000",250000,Bengaluru
320,2018-03-04,Gramophone,Technology,Agri-tech,InfoEdge,Seed/Angel Funding,"10,00,000",1000000,Indore
321,2018-03-05,Wellthy,Healthcare,Therapeutics,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,"21,00,000",2100000,Mumbai
322,2018-03-05,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers","HDFC Life, HDFC Asset Management",Private Equity,"1,00,00,000",10000000,Bengaluru
323,2018-03-05,Finova Capital,Consumer Internet,Online Lending,Sequoia Capital,Private Equity,"60,00,000",6000000,Jaipur
324,2018-03-05,Hotelogix,Technology,Cloud based Online Hotel Management Software,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,"50,00,000",5000000,Noida
325,2018-03-04,Livehealth,Consumer Internet,Health Service Aggregator Platform,Nexus Venture Partners,Seed / Angel Funding,"11,00,000",1100000,Pune
326,2018-03-06,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Avendus Finance Pvt. Ltd,Debt Funding,"97,00,000",9700000,Chennai
327,2018-03-06,Coverfox,Consumer Internet,Online Insurance Aggregator,Aegon NV,Private Equity,"76,00,000",7600000,Mumbai
328,2018-03-08,Pepperfry,Consumer Internet,Online Furniture Shopping Store,State Street Global Advisors,Private Equity,"3,84,00,000",38400000,Mumbai
329,2018-03-08,Magicpin,Consumer Internet,Hyperlocal Discovery,Trifecta Capital,Debt Funding,"10,00,000",1000000,Gurgaon
330,2018-03-12,HealthCare,Consumer Internet,Healthcare Aggregator,HR Fund,Seed / Angel Funding,"10,00,000",1000000,Mumbai
331,2018-03-13,PineLabs,Technology,Digital Payment Platform,"Actis, Altimeter Capital",Private Equity,"8,20,00,000",82000000,Mumbai
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,"1,72,00,000",17200000,Bengaluru
334,2018-03-15,Grofers,Consumer Internet,Online Grocery Shop,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,"6,20,00,000",62000000,Gurgaon
335,2018-03-19,Fingerlix,Consumer Internet,Ready To cook Food Solution,Alteria Capital,Debt Funding,"13,10,000",1310000,Mumbai
336,2018-03-19,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,"1Crowd, Ankur Capital",Seed / Angel Funding,"5,00,000",500000,Udaipur
337,2018-03-19,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,"30,00,000",3000000,Gurgaon
338,2018-03-19,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,"10,00,000",1000000,Gurgaon
341,2018-03-22,Chargebee,Technology,Subscription Billing & Recurring Payments Software,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,"1,80,00,000",18000000,Chennai
342,2018-03-22,i2i Funding,Consumer Internet,Online loan platform,SucSEED Venture Partners,Seed / Angel Funding,"7,68,000",768000,Noida
343,2018-03-22,Slang Labs,Technology,Voice-based assistant platform,Endiya Partners,Seed / Angel Funding,"12,40,000",1240000,Bengaluru
345,2018-03-26,Cash Suvidha,Consumer Internet,Online loan platform,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,"10,00,000",1000000,New Delhi
347,2018-03-28,Smartcoin,Finance,Micro lending company,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,"20,00,000",2000000,Bengaluru
