Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Info Edge (India) Ltd,Private Equity,"30,00,000",3000000,Bengaluru
1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"53,00,000",5300000,Mumbai
1502,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Zaffiro Ventures,Seed Funding,"5,00,000",500000,Mumbai
1504,2016-07-02,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,SAIF Partners,Private Equity,"7,00,000",700000,Bengaluru
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"1,50,00,000",15000000,Bengaluru
1507,2016-07-04,StitchWood,eCommerce,Custom Furniture Online,Deepak Gupta,Seed Funding,"2,00,000",200000,Mumbai
1508,2016-07-04,Grab.in,Logistics,hyperlocal logistics service,Aramex Ventures Llc,Private Equity,"20,00,000",2000000,Mumbai
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"1,60,00,000",16000000,Mumbai
1511,2016-07-05,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,"10,00,000",1000000,Gurgaon
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"8,20,00,000",82000000,Mumbai
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,"17,00,000",1700000,Mumbai
1514,2016-07-06,HappilyUnmarried,eCommerce,Online Merchandize etailer,Info Edge (India) Ltd,Private Equity,"7,40,000",740000,New Delhi
1515,2016-07-06,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000",250000,Ahmedabad
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform","Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"2,97,000",297000,Chennai
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"20,00,000",2000000,Mumbai
1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,Indian Angel Network,Private Equity,"10,00,000",1000000,New Delhi
1522,2016-07-08,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,"Kalaari Capital, India Quotient",Private Equity,"19,50,000",1950000,Mumbai
1523,2016-07-11,Purplle,eCommerce,Beauty Products Marketplace,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"60,00,000",6000000,Mumbai
1524,2016-07-11,Trak N Tell,Technology,Car Tracking & Safety System,Brian Acton,Private Equity,"35,00,000",3500000,Gurgaon
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"30,00,000",3000000,Gurgaon
1526,2016-07-12,SirionLabs,Technology,SAAS based Service Agreement Management,Sequoia Capital,Private Equity,"1,22,50,000",12250000,Gurgaon
1531,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Rainmaker Ventures,Private Equity,"50,00,000",5000000,New Delhi
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"6,00,000",600000,Gurgaon
1534,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,"SAIF Partners, India Quotient",Private Equity,"13,50,000",1350000,Bengaluru
1536,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,"Accel Partners, IDG Ventures India",Private Equity,"50,00,000",5000000,Bengaluru
1539,2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Keiretsu Forum,Seed Funding,"4,50,000",450000,Coimbatore
1540,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"10,70,000",1070000,Pune
1542,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,SRI Capital,Seed Funding,"10,00,000",1000000,Pune
1543,2016-07-15,BankerBay,Consumer Internet,Online Investment Banking platform,undisclosed investors,Private Equity,"20,00,000",2000000,Bengaluru
1545,2016-07-15,TripShelf,eCommerce,Travel Package Marketplace,GEMS group,Seed Funding,"2,50,000",250000,New Delhi
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,"60,00,000",6000000,Mumbai
1548,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,SRI Capital,Seed Funding,"6,50,000",650000,Pune
1549,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering platform,SRI Capital,Seed Funding,"6,50,000",650000,New Delhi
1550,2016-07-18,BlueStone,eCommerce,Jewellery Etailer,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,"3,00,00,000",30000000,Mumbai
1553,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,Star India Pvt. Ltd,Private Equity,"1,00,00,000",10000000,New Delhi
1554,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Franklin Templeton International Services Pvt. Ltd,Private Equity,"1,50,00,000",15000000,Noida
1555,2016-07-19,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Prime Venture Partners,Private Equity,"10,00,000",1000000,Bengaluru
1556,2016-07-19,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Green House Ventures Accelerator,Seed Funding,"2,50,000",250000,Gurgaon
1557,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Undisclosed Investors,Private Equity,"10,00,000",1000000,Jaipur
1558,2016-07-20,Truckola,Logistics,Tech-focused cargo transport startup,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"5,95,000",595000,Mumbai
1560,2016-07-21,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,Nihon Kotsu Co,Private Equity,"10,00,000",1000000,New Delhi
1562,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Indian Angel Network,Seed Funding,"5,95,000",595000,Bengaluru
1568,2016-06-02,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Parampara Capital,Private Equity,"10,00,000",1000000,Mumbai
1570,2016-06-02,Limo,Consumer Internet,Bus Aggregator Mobile app,Rainmaker Ventures,Private Equity,"10,00,000",1000000,Mumbai
1572,2016-06-03,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Undisclosed Investor,Seed Funding,"75,000",75000,Chennai
1573,2016-06-03,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,Romulus Capital,Private Equity,"20,00,000",2000000,New Delhi
1574,2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Sreenivasa Reddy Musani,Seed Funding,"4,48,000",448000,Hyderabad
1575,2016-06-07,CueMath,Education,K-12 Maths Learning Courses,"Sequoia Capital, Unitus Seed Fund",Private Equity,"40,00,000",4000000,Bengaluru
1576,2016-06-07,KrazyBee,Consumer Internet,Student Micro-Loan platform,"Yeahmobi, Fenqile",Private Equity,"20,00,000",2000000,Bengaluru
1577,2016-06-07,Intgrea,Technology,Post merger Integration Partners,Undisclosed Investor,Seed Funding,"1,00,000",100000,Bengaluru
1578,2016-06-07,HelpShift,Technology,Mobile CRM Platform,"Microsoft Ventures, Salesforce Ventures",Private Equity,"2,30,00,000",23000000,Pune
1579,2016-06-07,CreditVidya,Technology,Credit Scoring Platform,Kalaari Capital,Private Equity,"10,00,000",1000000,Mumbai
1580,2016-06-08,Grey Campus,Consumer Internet,Online Learning Platform,Sarath Sura,Seed Funding,"10,00,000",1000000,Hyderabad
1581,2016-06-08,ListUp,eCommerce,Location based Classified Mobile app,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,"5,00,000",500000,Mumbai
1582,2016-06-08,6Degree,Technology,Tech-enabled Fashion Talent platform,Indian Angel Network,Seed Funding,"2,00,000",200000,Mumbai
1585,2016-06-08,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Axiata Digital,Private Equity,"1,60,00,000",16000000,Bengaluru
1587,2016-06-08,MySeniorDoctor,Consumer Internet,Online medical support platform,BlackJag Partners,Seed Funding,"2,00,000",200000,Gurgaon
1590,2016-06-09,EPayLater,Technology,Fin-Tech Platform,3 undisclosed HNIs,Seed Funding,"20,00,000",2000000,Mumbai
1592,2016-06-10,Paytunes,Consumer Internet,Mobile based rewards platform,"CIO Angel Network, Indian Angel Network",Private Equity,"5,00,000",500000,New Delhi
1600,2016-06-13,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,undisclosed investor,Private Equity,"10,00,000",1000000,Mumbai
1605,2016-06-14,Jivox,Technology,Data Driven Advertising platform,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,"60,00,000",6000000,Bengaluru
1606,2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,"10,00,000",1000000,Pune
1607,2016-06-14,CureJoy,Consumer Internet,Online Alternative health community platform,Accel Partners India,Private Equity,"44,00,000",4400000,Bengaluru
1608,2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Indian Angel Network,Seed Funding,"4,50,000",450000,Vadodara
1610,2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,Info Edge (India) Ltd,Private Equity,"4,50,000",450000,New Delhi
1611,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Info Edge (India) Ltd,Private Equity,"6,00,000",600000,Gurgaon
1614,2016-06-16,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Sequoia Capital,Private Equity,"2,00,00,000",20000000,Bengaluru
1616,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,"Ravi Adusumalli, SAIF Partners",Private Equity,"1,20,00,000",12000000,New Delhi
1617,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Infuse Ventures,Private Equity,"9,00,000",900000,Bengaluru
1618,2016-06-17,GreytHR,Technology,Payroll & HR Software Developer,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,"52,00,000",5200000,Bengaluru
1624,2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Swan Angel Network,Seed Funding,"1,50,000",150000,Mumbai
1628,2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bitkemy Ventures,Seed Funding,"4,00,000",400000,Bengaluru
1629,2016-06-21,NatureNama,Consumer Internet,Online Outdoors & travel,Unicorn Venture,Seed Funding,"2,25,000",225000,Mumbai
1631,2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,The Chennai Angels,Seed Funding,"1,50,000",150000,Chennai
1632,2016-06-21,PrettySecrets,eCommerce,Women Lingerie Store,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,"60,00,000",6000000,Mumbai
1633,2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000",150000,Pune
1634,2016-06-23,FarEye,Technology,Logistics Management Software,Saif Partners,Private Equity,"35,00,000",3500000,New Delhi
1635,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000",210000,Bengaluru
1638,2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000",50000,Mumbai
1640,2016-06-24,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Kalaari Capital,Seed Funding,"5,00,000",500000,Bengaluru
1641,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,GVFL,Private Equity,"60,00,000",6000000,Mumbai
1642,2016-06-24,LEAP India,Others,Supply Chain Equipment & Services provider,Mayfield Ventures,Private Equity,"30,00,000",3000000,Mumbai
1643,2016-06-24,KabadiExpress,Others,Free Door Step Scrap Pickup Service,Undisclosed investor,Seed Funding,"1,48,000",148000,New Delhi
1644,2016-06-27,YourDost,Consumer Internet,Online counselling & Personal coaching platform,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000",1200000,Bengaluru
1645,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Undisclosed investor,Seed Funding,"1,00,000",100000,Bengaluru
1647,2016-06-27,Travelyaari,Consumer Internet,Online ticket booking platform,GVFL Ltd,Private Equity,"30,00,000",3000000,Bengaluru
1648,2016-06-28,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,"Accel Partners, RB Investments",Private Equity,"80,00,000",8000000,Gurgaon
1649,2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Undisclosed investors,Seed Funding,"3,00,000",300000,Ahmedabad
1650,2016-06-28,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,"3,20,00,000",32000000,Ahmedabad
1651,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,Sanjeev Sinha,Seed Funding,"2,95,000",295000,New Delhi
1654,2016-06-29,LetReach,eCommerce,ECommerce SAAS Solutions,vCommission,Private Equity,"1,00,000",100000,New Delhi
1655,2016-06-29,TrendieApp,Technology,Visual Content Marketing,Harsh Vardhan Hada,Seed Funding,"50,000",50000,Kolkata
1657,2016-06-29,Velvetcase,eCommerce,Online designer jewellery marketplace,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,"15,00,000",1500000,Mumbai
1658,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Brand Capital,Private Equity,"2,50,00,000",25000000,Mumbai
1659,2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Aarin Capital,Seed Funding,"2,20,000",220000,Bengaluru
1661,2016-06-30,Biryani Blues,Food & Beverage,QSR Chain,Carpediem Capital & Others,Private Equity,"3,68,000",368000,Gurgaon
1663,2016-05-01,Get My Parking,Technology,Parking Technology Platform,The Chennai Angels,Seed Funding,"3,76,000",376000,New Delhi
1664,2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Ankush Mehta,Seed Funding,"1,45,000",145000,Pune
1666,2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,"GMO Payment Gateway, MediaTek",Private Equity,"5,00,00,000",50000000,Gurgaon
1668,2016-05-03,Zwayam,Consumer Internet,Online Recruitment Platform,Undisclosed investors,Seed Funding,"2,50,000",250000,Bengaluru
1670,2016-05-03,Zuver,Consumer Internet,Car driver Discovery App,"Shruth & Smith Group, Hermes Group",Seed Funding,"1,80,000",180000,Mumbai
1672,2016-05-04,EasyRoads,Consumer Internet,Road Trip planning Mobile app,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"2,00,000",200000,Mumbai
1673,2016-05-04,Lenskart,eCommerce,Eyewear & Accessories etailer,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,"6,00,00,000",60000000,New Delhi
1674,2016-05-04,Seclore,Technology,Enterprise Security Technology platform,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"1,20,00,000",12000000,Mumbai
1675,2016-05-04,SolarTown,Technology,Solar Rooftop system installation company,Grex.in,Seed Funding,"2,00,000",200000,Chennai
1676,2016-05-04,Comarete,Technology,Telecom & Media IT services company,Grex.in,Seed Funding,"2,00,000",200000,Pune
1677,2016-05-04,MyDentistChoice,eCommerce,Medical Supplies eTailer,Undisclosed investors,Seed Funding,"1,50,000",150000,Hyderabad
1678,2016-05-04,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",500000,Singapore
1679,2016-05-04,Affordplan,Technology,Affordable non-emergency medical service health plans,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",500000,New Delhi
1680,2016-05-04,Indee,Consumer Internet,Web Video Streaming Platform,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",500000,Bengaluru
1682,2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Group of undisclosed Angel Investors & HNIs,Seed Funding,"3,75,000",375000,Bengaluru
1683,2016-05-06,EduAce Services,Education,Education Workshops & mentoring programs,MoMagic Technologies,Private Equity,"10,00,000",1000000,Lucknow
1685,2016-05-07,Zebroads,Logistics,Logistics and Warehousing services,Undisclosed investors,Seed Funding,"75,000",75000,Hyderabad
1686,2016-05-09,Locus,Technology,Logistics Intelligence platform,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,"27,50,000",2750000,Bengaluru
1687,2016-05-09,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,"Roopak Saluja, Vishal Khare",Seed Funding,"4,50,000",450000,Bengaluru
1688,2016-05-09,Rentickle,eCommerce,"Furniture, appliances Portal","Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"2,50,000",250000,New Delhi
1689,2016-05-10,HealthifyMe,Consumer Internet,Health & Fitness App,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,"60,00,000",6000000,Bengaluru
1690,2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,"15,00,000",1500000,Chennai
1691,2016-05-10,InnoNano Research,Technology,Clean Water Technology,NanoHoldings,Private Equity,"1,80,00,000",18000000,Chennai
1692,2016-05-10,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Undisclosed investors,Seed Funding,"15,00,000",1500000,Mumbai
1693,2016-05-10,Swiggy,Consumer Internet,Food Delivery Platform,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,"70,00,000",7000000,Bengaluru
1694,2016-05-11,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Undisclosed Investors,Private Equity,"9,00,000",900000,Bengaluru
1696,2016-05-11,Fractal Analytics,Technology,Data Analytics Company,Khazanah Nasional Berhad,Private Equity,"10,00,00,000",100000000,Mumbai
1697,2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,"5,00,000",500000,Bengaluru
1698,2016-05-12,Capital Float,Consumer Internet,Online Lending Platform,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,"2,50,00,000",25000000,Bengaluru
1699,2016-05-12,Life Circle,Healthcare,Senior Healthcare Services,GROUPE SOS,Private Equity,"1,50,000",150000,Hyderabad
1704,2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,"Matrix Partners, Nexus Ventures",Private Equity,"1,35,00,000",13500000,Chennai
1705,2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,"22,00,000",2200000,Mumbai
1706,2016-05-16,Smartivity,eCommerce,Smart Learning products,"S Chand, AdvantEdge Partners",Private Equity,"10,00,000",1000000,New Delhi
1711,2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,YourNest Angel Fund,Seed Funding,"2,50,000",250000,Bengaluru
1712,2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Katabole Technology Venture,Seed Funding,"1,00,000",100000,Trivandrum
1714,2016-05-18,EduPristine,Education,Online Certification Courses,"Kaizen Management Advisors, DeVry Inc",Private Equity,"1,00,00,000",10000000,Mumbai
1715,2016-05-18,BhiveWorkspace,Reality,Co-Working Spaces,Blume Ventures,Private Equity,"10,00,000",1000000,Bengaluru
1717,2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Undisclosed investors,Seed Funding,"10,00,000",1000000,Mumbai
1719,2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,Undisclosed HNIs,Seed Funding,"5,00,000",500000,New Delhi
1720,2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,"Chatsworth Management, ITW Digital",Seed Funding,"5,00,000",500000,New Delhi
1721,2016-05-20,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Undisclosed Investors,Seed Funding,"3,00,000",300000,Noida
1723,2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,vCommission,Seed Funding,"89,000",89000,New Delhi
1725,2016-05-24,Goalwise,Consumer Internet,Online investment platform,Undisclosed HNIs,Seed Funding,"10,00,000",1000000,Bengaluru
1727,2016-05-25,Address Health,Healthcare,Pediatric Primary Healthcare Network,Gray Matters Capital,Private Equity,"15,00,000",1500000,Bengaluru
1728,2016-05-25,Arcatron Mobility,Technology,Mobility Devices for differently abled,Sudhir Mehta,Seed Funding,"1,00,000",100000,Pune
1730,2016-05-26,Cleartax,Consumer Internet,Online Income Tax Filing platform,"FF Angel, Sequoia Capital",Private Equity,"20,00,000",2000000,Bengaluru
1732,2016-05-26,mChamp,Consumer Internet,Celebrity Entertainment Contest App,MoMagic Technologies,Seed Funding,"4,75,000",475000,New Delhi
1734,2016-05-30,Vahanalytics,Technology,Safe driving Analytics platform,"Anirudh Damani, Vikram Lakhotia",Seed Funding,"2,00,000",200000,Mumbai
1736,2016-05-31,Koovs,eCommerce,Apparel & Lifestyle eTailer,HT Media Ltd,Private Equity,"44,00,000",4400000,New Delhi
1737,2016-05-31,CCavenue,Consumer Internet,Payment Gateway,NSI Infinium Global Pvt. Ltd,Private Equity,"89,00,000",8900000,Mumbai
1740,2016-05-31,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Undisclosed Investors,Seed Funding,"1,75,000",175000,Mumbai
1741,2016-04-01,Dil Mil,Consumer Internet,Matchmaking Mobile App,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,"27,00,000",2700000,SFO / Bangalore
1746,2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Xiaomi Inc,Private Equity,"2,50,00,000",25000000,Mumbai
1751,2016-04-06,Shipsy,Logistics,Logistics Solutions,DTDC Express Ltd,Private Equity,"10,00,000",1000000,Gurgaon
1752,2016-04-06,gear6,Consumer Internet,Online bike service and repairs platform,Ninestarter,Seed Funding,"5,00,000",500000,Bengaluru
1753,2016-04-06,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,L\\xe2\\x80\\x99Occitane,Private Equity,"60,00,000",6000000,Mumbai
1754,2016-04-06,Petoo,Consumer Internet,Online Food Delivery Platform,Axilor Ventures,Private Equity,"10,00,000",1000000,Bengaluru
1758,2016-04-08,imedilane,Consumer Internet,Online Health Diagnosis platform,"Mahendra Patel, Nilender Chauhan",Seed Funding,"40,000",40000,New Delhi
1759,2016-04-11,Living Local,Consumer Internet,Social discovery platform,Rattan Chadha,Seed Funding,"2,00,000",200000,Mumbai
1761,2016-04-11,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,"10,00,00,000",100000000,New Delhi
1762,2016-04-11,PriceRaja,Consumer Internet,Price Comparison Portal,Prashant Puri,Seed Funding,"3,00,000",300000,Gurgaon
1763,2016-04-12,MagicX,Consumer Internet,On-Demand Task Management App,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,"10,00,000",1000000,Bengaluru
1767,2016-04-13,Legalraasta,Consumer Internet,Online legal Services for Startups,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,"10,00,000",1000000,New Delhi
1768,2016-04-13,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Dr. Aniruddha Malpani,Seed Funding,"1,50,000",150000,Pune
1769,2016-04-13,Hippily,eCommerce,Fashion ECommerce App,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,"2,50,000",250000,Mumbai
1770,2016-04-13,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,"Prime Venture Partners,",Seed Funding,"7,50,000",750000,Bengaluru
1772,2016-04-14,BeaconsTalk,Technology,contextual mobile advertising,"Rajeev Agrawal, Prashant Gooty",Seed Funding,"1,00,000",100000,Mumbai
1774,2016-04-15,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,Mount Nathan Advisors,Seed Funding,"10,00,000",1000000,New Delhi
1776,2016-04-15,Vyomo,Consumer Internet,On-Demand Beauty Service provider,Naturals Salon Chain,Private Equity,"1,50,00,000",15000000,New Delhi
1779,2016-04-15,NestAway,Consumer Internet,Furnished Home Rental Platform,Tiger Global,Private Equity,"3,00,00,000",30000000,Bengaluru
1780,2016-04-15,Tapchief,Consumer Internet,Expert Advice Platform,Vijay Shekhar Sharma,Seed Funding,"1,50,000",150000,Bengaluru
1785,2016-04-18,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Paytm & existing investors,Private Equity,"1,00,00,000",10000000,Chandigarh
1787,2016-04-19,Betaout,eCommerce,customer intelligence and marketing automation platform,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,"15,00,000",1500000,Noida
1788,2016-04-19,DriversCart,Consumer Internet,on-demand chauffeur provider,ah! Ventures,Seed Funding,"4,50,000",450000,Chennai
1790,2016-04-19,CollegeDekho,Consumer Internet,College & Student information platform,Man Capital,Private Equity,"20,00,000",2000000,New Delhi
1794,2016-04-20,1mg,eCommerce,Online Pharmacy,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,"1,50,00,000",15000000,Gurgaon
1801,2016-04-22,Licious,eCommerce,Mobile based Meat ordering App,Mayfield India II Management Ltd,Private Equity,"30,00,000",3000000,Bengaluru
1804,2016-04-22,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,Indian Angel network,Seed Funding,"4,50,000",450000,New Delhi
1805,2016-04-25,Commut,Consumer Internet,Shuttle Service Provider,50K Ventures,Seed Funding,"2,00,000",200000,Hyderabad
1807,2016-04-25,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,"5,50,000",550000,Bengaluru
1808,2016-04-26,Transerv,Consumer Internet,Digital Payments platform,"IDFC SPICE Fund, Micromax Informatics",Private Equity,"1,50,00,000",15000000,Mumbai
1809,2016-04-26,ClearTax,Consumer Internet,Online filing of Tax returns,"Max Levchin, Scott Banister",Private Equity,"13,00,000",1300000,Bengaluru
